Episode,AgentID,FinalX,FinalY,TotalReward,FoodCollected,CollisionCount,EpisodeLength,RandomActions,GreedyActions
74,2,5,1,79,29,10,200,41,159
75,0,4,7,142,34,8,200,43,157
75,1,3,1,430,58,2,200,47,153
75,2,8,1,150,34,6,200,37,163
76,0,6,1,73,27,6,200,35,165
76,1,6,8,161,35,6,200,37,163
76,2,2,2,185,35,0,200,38,162
77,0,6,4,108,28,0,200,38,162
77,1,5,3,232,40,2,200,41,159
77,2,2,4,166,34,2,200,40,160
78,0,3,4,174,38,11,200,39,161
78,1,6,4,111,33,13,200,40,160
78,2,3,3,57,27,10,200,38,162
79,0,6,5,-11,19,5,200,33,167
79,1,5,0,389,55,4,200,43,157
79,2,8,4,65,27,8,200,35,165
80,0,3,6,126,30,1,200,44,156
80,1,7,1,214,38,1,200,44,156
80,2,6,4,34,22,2,200,36,164
81,0,2,5,235,41,4,200,30,170
81,1,4,0,291,45,1,200,28,172
81,2,8,4,261,43,3,200,41,159
82,0,0,2,196,36,0,200,39,161
82,1,9,3,166,34,2,200,39,161
82,2,8,9,56,24,2,200,38,162
83,0,9,2,119,33,11,200,29,171
83,1,7,0,213,43,15,200,44,156
83,2,8,5,268,44,4,200,47,153
84,0,1,7,20,24,11,200,37,163
84,1,4,6,135,33,7,200,42,158
84,2,0,5,139,33,6,200,38,162
85,0,5,4,111,29,2,200,38,162
85,1,0,6,199,37,2,200,42,158
85,2,8,2,284,44,0,200,34,166
86,0,6,8,305,47,3,200,51,149
86,1,8,5,163,33,0,200,38,162
86,2,2,1,305,47,3,200,44,156
87,0,6,4,339,49,0,200,32,168
87,1,0,1,183,37,6,200,36,164
87,2,6,8,40,24,6,200,36,164
88,0,7,6,184,36,3,200,38,162
88,1,1,5,290,46,4,200,43,157
88,2,7,8,335,49,1,200,50,150
89,0,0,7,95,29,6,200,37,163
89,1,1,1,51,25,6,200,35,165
89,2,2,4,172,36,6,200,32,168
90,0,5,6,65,27,8,200,37,163
90,1,5,4,21,23,8,200,42,158
90,2,3,3,-2,18,0,200,41,159
91,0,7,5,192,36,1,200,49,151
91,1,1,7,353,51,2,200,33,167
91,2,4,8,272,44,3,200,38,162
92,0,8,6,51,25,6,200,43,157
92,1,7,9,136,36,15,200,33,167
92,2,2,8,39,25,9,200,46,154
93,0,3,2,287,45,2,200,40,160
93,1,3,6,191,37,4,200,46,154
93,2,7,2,133,31,2,200,43,157
94,0,3,2,261,43,3,200,39,161
94,1,9,3,55,25,5,200,49,151
94,2,1,6,144,32,2,200,42,158
95,0,7,2,52,24,3,200,45,155
95,1,8,3,144,32,2,200,42,158
95,2,5,6,137,31,1,200,50,150
96,0,4,5,232,40,2,200,38,162
96,1,5,5,218,38,0,200,34,166
96,2,9,4,155,33,2,200,32,168
97,0,9,6,67,25,2,200,43,157
97,1,2,6,247,41,1,200,37,163
97,2,5,4,206,38,3,200,34,166
98,0,2,2,152,32,0,200,39,161
98,1,0,8,198,38,5,200,29,171
98,2,4,6,66,26,5,200,34,166
99,0,0,0,268,44,4,200,45,155
99,1,4,6,219,41,8,200,31,169
99,2,6,4,293,47,6,200,48,152
100,0,6,7,185,35,0,200,38,162
100,1,0,8,258,42,1,200,37,163
100,2,8,4,49,23,1,200,40,160
101,0,1,9,205,39,6,200,45,155
101,1,2,4,232,40,2,200,45,155
101,2,2,8,246,42,4,200,36,164
102,0,1,6,333,51,7,200,39,161
102,1,8,2,250,42,3,200,49,151
102,2,6,7,90,30,10,200,38,162
103,0,1,3,241,43,8,200,35,165
103,1,1,4,229,39,0,200,38,162
103,2,5,4,87,29,8,200,41,159
104,0,8,7,67,25,2,200,41,159
104,1,5,7,154,34,5,200,50,150
104,2,7,6,157,35,7,200,39,161
105,0,7,0,157,35,7,200,48,152
